ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
pea,33.0,19.0,52.0,2.4050632911392404,1.269719122739515,-1.1353441683997254
prosciutto crudo,50.0,0.0,50.0,0.0,1.9238168526356292,1.9238168526356292
eggplant,45.0,5.0,50.0,0.6329113924050633,1.731435167372066,1.0985237749670027
white wine vinegar,50.0,0.0,50.0,0.0,1.9238168526356292,1.9238168526356292
dark chocolate,49.0,0.0,49.0,0.0,1.8853405155829166,1.8853405155829166
vanilla,24.0,24.0,48.0,3.0379746835443036,0.923432089265102,-2.1145425942792015
cheese,35.0,11.0,46.0,1.3924050632911391,1.3466717968449404,-0.045733266446198684
zucchini,37.0,9.0,46.0,1.139240506329114,1.4236244709503656,0.2843839646212516
chard,37.0,8.0,45.0,1.0126582278481013,1.4236244709503656,0.41096624310226426
artichoke,31.0,13.0,44.0,1.6455696202531647,1.19276644863409,-0.4528031716190746
warm water,40.0,4.0,44.0,0.5063291139240507,1.5390534821085033,1.0327243681844527
orange zest,39.0,5.0,44.0,0.6329113924050633,1.5005771450557905,0.8676657526507272
hot water,27.0,16.0,43.0,2.0253164556962027,1.0388611004232395,-0.9864553552729631
spaghetti,34.0,9.0,43.0,1.139240506329114,1.3081954597922278,0.16895495346311384
grated grana padano,43.0,0.0,43.0,0.0,1.6544824932666409,1.6544824932666409
chicken liver,20.0,22.0,42.0,2.7848101265822782,0.7695267410542517,-2.0152833855280265
spinach,23.0,18.0,41.0,2.278481012658228,0.8849557522123894,-1.3935252604458386
truffle,6.0,34.0,40.0,4.30379746835443,0.2308580223162755,-4.072939446038155
vanilla sugar,21.0,19.0,40.0,2.4050632911392404,0.8080030781069641,-1.5970602130322762
white onion,37.0,3.0,40.0,0.37974683544303794,1.4236244709503656,1.0438776355073276
candied fruit,18.0,20.0,38.0,2.5316455696202533,0.6925740669488265,-1.8390715026714268
spices,7.0,29.0,36.0,3.670886075949367,0.2693343593689881,-3.401551716580379
candied citron,22.0,13.0,35.0,1.6455696202531647,0.8464794151596767,-0.7990902050934879
meat sauce,5.0,30.0,35.0,3.79746835443038,0.19238168526356292,-3.605086669166817
baking soda,20.0,15.0,35.0,1.89873417721519,0.7695267410542517,-1.1292074361609383
eel,28.0,6.0,34.0,0.7594936708860759,1.0773374374759523,0.31784376658987645
salt and pepper,34.0,0.0,34.0,0.0,1.3081954597922278,1.3081954597922278
rosemary sprig,34.0,0.0,34.0,0.0,1.3081954597922278,1.3081954597922278
chocolate,10.0,23.0,33.0,2.911392405063291,0.38476337052712584,-2.5266290345361653
thyme,32.0,1.0,33.0,0.12658227848101267,1.2312427856868027,1.10466050720579
mussel,32.0,1.0,33.0,0.12658227848101267,1.2312427856868027,1.10466050720579
hard-boiled egg,25.0,7.0,32.0,0.8860759493670887,0.9619084263178146,0.07583247695072592
vegetable broth,32.0,0.0,32.0,0.0,1.2312427856868027,1.2312427856868027
juniper berry,29.0,3.0,32.0,0.37974683544303794,1.115813774528665,0.7360669390856269
béchamel sauce,13.0,19.0,32.0,2.4050632911392404,0.5001923816852636,-1.9048709094539769
